9,15,750.17,716.94,58.71,39.06,0.2693,0,1
10,1,493.00,478.85,44.49,124.29,0.8664,0,1
10,2,661.43,336.85,50.95,131.95,0.7945,0,1
10,3,310.16,581.33,68.10,119.30,0.7579,0,1
10,4,356.06,478.12,53.42,109.34,0.6809,0,1
10,5,168.98,546.34,77.57,86.84,0.6761,0,1
10,6,248.69,289.04,30.75,79.26,0.6276,0,1
10,7,877.10,300.55,28.54,73.79,0.6179,0,1
10,8,600.53,324.80,39.32,114.49,0.5691,0,1
10,9,26.03,293.82,36.97,57.59,0.5021,0,1
10,10,768.40,408.79,62.35,105.01,0.4996,0,1
10,11,391.79,673.65,36.52,26.02,0.3952,32,1
10,12,480.82,663.06,68.76,90.88,0.3894,0,1
10,13,558.61,662.49,69.10,91.87,0.3626,0,1
10,14,117.75,393.28,32.42,72.10,0.3266,0,1
10,15,816.77,316.32,29.84,77.51,0.3048,0,1
10,16,751.00,716.69,57.70,39.31,0.2829,0,1
11,1,492.50,478.88,44.90,124.44,0.8627,0,1
11,2,661.32,334.80,51.82,134.23,0.7376,0,1
11,3,310.36,580.60,67.93,120.12,0.7248,0,1
11,4,355.11,477.90,54.32,108.87,0.6762,0,1
11,5,169.00,545.98,76.88,86.83,0.6445,0,1
11,6,876.25,298.23,28.58,75.98,0.6169,0,1
11,7,599.14,325.40,39.53,113.39,0.5434,0,1
11,8,777.27,402.58,57.42,105.62,0.4543,0,1
11,9,251.21,287.56,29.53,80.24,0.4522,0,1
11,10,557.57,662.41,70.21,92.17,0.4326,0,1
11,11,22.76,297.95,43.74,54.01,0.4183,0,1
11,12,484.23,662.89,65.60,91.48,0.4156,0,1
11,13,816.53,322.73,27.80,71.69,0.3245,0,1
11,14,750.41,716.08,58.44,39.92,0.3170,0,1
11,15,392.07,673.31,36.30,25.55,0.3133,32,1
11,16,279.27,207.69,21.32,52.98,0.2729,0,1
12,1,492.38,478.87,45.06,124.10,0.8591,0,1
12,2,310.67,580.08,67.58,120.38,0.7310,0,1
12,3,169.40,545.66,76.87,86.82,0.7011,0,1
12,4,787.41,401.85,49.86,97.08,0.6954,0,1
12,5,352.98,477.70,56.58,109.22,0.6316,0,1
12,6,874.57,291.98,28.72,80.31,0.6252,0,1
12,7,659.11,335.41,34.54,91.31,0.5000,0,1
12,8,599.96,323.36,38.79,115.66,0.4877,0,1
12,9,115.56,392.02,32.71,73.22,0.4612,0,1
12,10,557.90,662.03,69.17,92.47,0.4137,0,1
12,11,391.69,673.40,36.22,25.35,0.4100,32,1
12,12,484.43,662.43,65.42,91.72,0.3789,0,1
12,13,751.60,715.34,57.18,40.66,0.3690,0,1
12,14,814.48,321.66,26.84,69.76,0.3646,0,1
12,15,278.62,207.46,21.60,53.82,0.3365,0,1
12,16,252.19,287.23,29.25,80.87,0.3154,0,1
12,17,298.41,485.86,43.11,115.17,0.2862,0,1
13,1,490.93,478.81,46.13,124.87,0.8479,0,1
13,2,797.61,402.36,42.81,92.10,0.7266,0,1
13,3,309.55,579.82,69.33,120.87,0.6771,0,1
13,4,169.34,546.19,76.40,86.02,0.6398,0,1
